tilaaja_taso_0	tilaaja_taso_1	tilaaja_taso_2	tilaaja_taso_3	VSSHP_boolean	custorg0	custorg1	custorg2	custorg3
TYKS	TYKS/Kirurginen sairaala	234-ortopedian vos	234-ortopedian vos	1	TYKS        	TYKSKI      	234         	234         
Operatiivisen hoidon tr	Ortopedian & traumatologian ty	234-ortopedian vos	234-ortopedian vos	1	OP-HTR      	OP-ORT      	234         	234         
TYKS	KIRURGINEN SAIRAALA	234-ortopedian vos	234-ortopedian vos	1	TYKS        	KIRSAI      	234         	234         
TYKS	TYKS/Kirurginen sairaala	235-ortopedian vos	235-ortopedian vos	1	TYKS        	TYKSKI      	235         	235         
TYKS	KIRURGINEN SAIRAALA	235-ortopedian vos	235-ortopedian vos	1	TYKS        	KIRSAI      	235         	235         
Operatiivisen hoidon tr	Ortopedian & traumatologian ty	235-ortopedian vos	235-ortopedian vos	1	OP-HTR      	OP-ORT      	235         	235         
TYKS	KIRURGINEN SAIRAALA	235-ortopedian vos	235/01-avohoitopotilaat	1	TYKS        	KIRSAI      	235         	235/01      
TYKS	TYKS/Kirurginen sairaala	235-ortopedian vos	235/01-avohoitopotilaat	1	TYKS        	TYKSKI      	235         	235/01      
TYKS	Kantasairaala	250-leikkausosasto	250-kirurgian leikkausos	1	TYKS        	KANTA       	250         	250         
TYKS	TYKS/A-sairaala	250-leikkausosasto	250-kirurgian leikkausos	1	TYKS        	TYKSA       	250         	250         
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	250-leikkausosasto	250-kirurgian leikkausos	1	OP-HTR      	OP-KIR      	250         	250         
TYKS	TYKS/U-sairaala	251-leikkausosasto	251-kirurgian leikkausos	1	TYKS        	TYKSU       	251         	251         
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	251-leikkausosasto	251-kirurgian leikkausos	1	OP-HTR      	OP-KIR      	251         	251         
TYKS	Kantasairaala	251-leikkausosasto	251-kirurgian leikkausos	1	TYKS        	KANTA       	251         	251         
TYKS	TYKS/A-sairaala	252-neurokir. leikkaussali	252-neurokir. leikkaussali	1	TYKS        	TYKSA       	252         	252         
TYKS	Kantasairaala	252-neurokir. leikkaussali	252-neurokir. leikkaussali	1	TYKS        	KANTA       	252         	252         
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	252-neurokir. leikkaussali	252-neurokir. leikkaussali	1	OP-HTR      	OP-KIR      	252         	252         
TYKS	TYKS/T-sairaala	253-päiväkirurginen leik.os.	253-päiki leikkausos, T-sair.	1	TYKS        	TYKST       	253         	253         
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	253-päiväkirurginen leik.os.	253-päiki leikkausos, T-sair.	1	OP-HTR      	OP-KIR      	253         	253         
TYKS	T-SAIRAALA	253-päiväkirurginen leik.os.	253-päiki leikkausos, T-sair.	1	TYKS        	TSAIR       	253         	253         
TYKS	T-SAIRAALA	253-päiväkirurginen leik.os.	253/ESWL-päiväkir. leik.os	1	TYKS        	TSAIR       	253         	253ESW      
TYKS	KIRURGINEN SAIRAALA	254-kir. sairaalan leikkausos	254-kir. sairaalan leikkausos	1	TYKS        	KIRSAI      	254         	254         
TYKS	TYKS/Kirurginen sairaala	254-kir. sairaalan leikkausos	254-kir. sairaalan leikkausos	1	TYKS        	TYKSKI      	254         	254         
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	254-kir. sairaalan leikkausos	254-kir. sairaalan leikkausos	1	OP-HTR      	OP-KIR      	254         	254         
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	254P-päiväkirurgia, kir. sair.	254P-päiväkirurgia, kir. sair.	1	OP-HTR      	OP-KIR      	254P        	254P        
TYKS	TYKS/Kirurginen sairaala	254P-päiväkirurgia, kir. sair.	254P-päiväkirurgia, kir. sair.	1	TYKS        	TYKSKI      	254P        	254P        
TYKS	KIRURGINEN SAIRAALA	255-kir.sair. leikkausosasto	255-kir. sair. leikkausos	1	TYKS        	KIRSAI      	255         	255         
TYKS	Raision seudun ova (RAISIO)	281-kirurgian poli	281-kirurgian pkl (Raisio)	1	TYKS        	RAISIO      	281         	281         
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	281-kirurgian poli	281-kirurgian pkl (Raisio)	1	OP-HTR      	OP-KIR      	281         	281         
TYKS	TYKS/Raision sairaala	281-kirurgian poli	281-kirurgian pkl (Raisio)	1	TYKS        	TYKSRA      	281         	281         
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	281-kirurgian poli	281/PÄI-päiväkirurgia (Raisio)	1	OP-HTR      	OP-KIR      	281         	281PÄI      
TYKS	Raision seudun ova (RAISIO)	281-kirurgian poli	281/PÄI-päiväkirurgia (Raisio)	1	TYKS        	RAISIO      	281         	281PÄI      
TYKS	TYKS/Raision sairaala	281-kirurgian poli	281/PÄI-päiväkirurgia (Raisio)	1	TYKS        	TYKSRA      	281         	281PÄI      
TYKS	Raision seudun ova (RAISIO)	281-kirurgian poli	Raision sair. kir.pkl, 281SH	1	TYKS        	RAISIO      	281         	281SH       
TYKS	Raision seudun ova (RAISIO)	282-kirurgian vuodeosasto	282-kirurgian os (Raisio)	1	TYKS        	RAISIO      	282         	282         
TYKS	TYKS/Raision sairaala	283-kirurgian vuodeosasto	283-kirurgian os (Raisio)	1	TYKS        	TYKSRA      	283         	283         
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	283-kirurgian vuodeosasto	283-kirurgian os (Raisio)	1	OP-HTR      	OP-KIR      	283         	283         
TYKS	Raision seudun ova (RAISIO)	283-kirurgian vuodeosasto	283-kirurgian os (Raisio)	1	TYKS        	RAISIO      	283         	283         
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	283-kirurgian vuodeosasto	283/283PKL-kirurgian os	1	OP-HTR      	OP-KIR      	283         	283PKL      
TYKS	TYKS/Raision sairaala	283-kirurgian vuodeosasto	283/283PKL-kirurgian os	1	TYKS        	TYKSRA      	283         	283PKL      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	284-päiväkirurgia	284HER-päiväkirurgia Raisio	1	OP-HTR      	OP-KIR      	284         	284HER      
VSshp	TYKS/Raision sairaala	284P-päiväkirurgia Raisio	284HER-päiväkirurgia Raisio	1	VSshp       	TYKSRA      	284P        	284HER      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	284-päiväkirurgia	284PREOP-päiväkirurgia Raisio	1	OP-HTR      	OP-KIR      	284         	284PRE      
VSshp	Raision seudun ova (RAISIO)	284P-päiväkirurgia Raisio	284PREOP-päiväkirurgia Raisio	1	VSshp       	RAISIO      	284P        	284PRE      
VSshp	TYKS/Raision sairaala	284P-päiväkirurgia Raisio	284PREOP-päiväkirurgia Raisio	1	VSshp       	TYKSRA      	284P        	284PRE      
Operatiivisen hoidon tr	Ortopedian & traumatologian ty	298-ortop.& traum. hallinto	298/TP	1	OP-HTR      	OP-ORT      	298         	298/TP      
TYKS	TYKS	299-kirurgian hallinto	299/TP-kirurgian klinikan proj	1	TYKS        	TYKS        	299         	299/TP      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	299-kirurgian hallinto	299/TP-kirurgian klinikan proj	1	OP-HTR      	OP-KIR      	299         	299/TP      
TYKS	Kantasairaala	310-synnytysosasto	310-synnytysvuodeos	1	TYKS        	KANTA       	310         	310         
TYKS	TYKS/U-sairaala	310-synnytysosasto	310-synnytysvuodeos	1	TYKS        	TYKSU       	310         	310         
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	310-synnytysosasto	310-synnytysvuodeos	1	OP-HTR      	OP-N&S      	310         	310         
TYKS	Kantasairaala	310-synnytysosasto	310/10-os:lla käyvät kontr.pot	1	TYKS        	KANTA       	310         	310/10      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	310-synnytysosasto	310/10-os:lla käyvät kontr.pot	1	OP-HTR      	OP-N&S      	310         	310/10      
TYKS	TYKS/U-sairaala	310-synnytysosasto	310/10-os:lla käyvät kontr.pot	1	TYKS        	TYKSU       	310         	310/10      
TYKS	Kantasairaala	310-synnytysosasto	310/11-vauvat	1	TYKS        	KANTA       	310         	310/11      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	311-synnytysosasto	311-synnytysvuodeos	1	OP-HTR      	OP-N&S      	311         	311         
TYKS	Kantasairaala	311-synnytysosasto	311-synnytysvuodeos	1	TYKS        	KANTA       	311         	311         
TYKS	TYKS/U-sairaala	311-synnytysosasto	311-synnytysvuodeos	1	TYKS        	TYKSU       	311         	311         
TYKS	TYKS/U-sairaala	311-synnytysosasto	311/11-os:lla käyvät kontr.pot	1	TYKS        	TYKSU       	311         	311/11      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	311-synnytysosasto	311/11-os:lla käyvät kontr.pot	1	OP-HTR      	OP-N&S      	311         	311/11      
TYKS	TYKS/U-sairaala	312-prenat.synnytysosasto	312-prenat. synnytysvo.	1	TYKS        	TYKSU       	312         	312         
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	312-prenat.synnytysosasto	312-prenat. synnytysvo.	1	OP-HTR      	OP-N&S      	312         	312         
TYKS	Kantasairaala	312-prenat.synnytysosasto	312-prenat. synnytysvo.	1	TYKS        	KANTA       	312         	312         
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	314-operat. naistentaut. os	314-operat. naistentaut. os	1	OP-HTR      	OP-N&S      	314         	314         
TYKS	Kantasairaala	314-operat. naistentaut. os	314-operat. naistentaut. os	1	TYKS        	KANTA       	314         	314         
TYKS	TYKS/U-sairaala	314-operat. naistentaut. os	314-operat. naistentaut. os	1	TYKS        	TYKSU       	314         	314         
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	314-operat. naistentaut. os	314/10-sytostaattipotilaat	1	OP-HTR      	OP-N&S      	314         	314/10      
TYKS	TYKS/U-sairaala	314-operat. naistentaut. os	314/10-sytostaattipotilaat	1	TYKS        	TYKSU       	314         	314/10      
TYKS	Kantasairaala	314-operat. naistentaut. os	314/10-sytostaattipotilaat	1	TYKS        	KANTA       	314         	314/10      
TYKS	TYKS/U-sairaala	314-operat. naistentaut. os	314/30-muut avohoitopotilaat	1	TYKS        	TYKSU       	314         	314/30      
TYKS	TYKS/U-sairaala	314-operat. naistentaut. os	314/O-viikko-os	1	TYKS        	TYKSU       	314         	314/O       
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	314-operat. naistentaut. os	314/O-viikko-os	1	OP-HTR      	OP-N&S      	314         	314/O       
TYKS	Kantasairaala	314-operat. naistentaut. os	314/O-viikko-os	1	TYKS        	KANTA       	314         	314/O       
TYKS	TYKS/U-sairaala	314-operat. naistentaut. os	314O/S	1	TYKS        	TYKSU       	314         	314O        
TYKS	Kantasairaala	314-operat. naistentaut. os	314O/S	1	TYKS        	KANTA       	314         	314O        
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	314-operat. naistentaut. os	314O/S	1	OP-HTR      	OP-N&S      	314         	314O        
TYKS	TYKS/U-sairaala	320-äitiyspoli	320-äitiyspkl	1	TYKS        	TYKSU       	320         	320         
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	320-äitiyspoli	320-äitiyspkl	1	OP-HTR      	OP-N&S      	320         	320         
TYKS	Kantasairaala	320-äitiyspoli	320-äitiyspkl	1	TYKS        	KANTA       	320         	320         
TYKS	Kantasairaala	320-äitiyspoli	320/10-apulaislääk.vo	1	TYKS        	KANTA       	320         	320/10      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	320-äitiyspoli	320/10-apulaislääk.vo	1	OP-HTR      	OP-N&S      	320         	320/10      
TYKS	TYKS/U-sairaala	320-äitiyspoli	320/10-apulaislääk.vo	1	TYKS        	TYKSU       	320         	320/10      
TYKS	Kantasairaala	320-äitiyspoli	320/20-erik.lääkärin vo	1	TYKS        	KANTA       	320         	320/20      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	320-äitiyspoli	320/22-os312 näyttövo	1	OP-HTR      	OP-N&S      	320         	320/22      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	320-äitiyspoli	320/25-sis.lääk. diabetes vo	1	OP-HTR      	OP-N&S      	320         	320/25      
TYKS	TYKS/U-sairaala	320-äitiyspoli	320/25-sis.lääk. diabetes vo	1	TYKS        	TYKSU       	320         	320/25      
TYKS	Kantasairaala	320-äitiyspoli	320/25-sis.lääk. diabetes vo	1	TYKS        	KANTA       	320         	320/25      
TYKS	TYKS/U-sairaala	320-äitiyspoli	320/26-sisätautilääk. vo II	1	TYKS        	TYKSU       	320         	320/26      
TYKS	Kantasairaala	320-äitiyspoli	320/40-verenpaineäitien vo	1	TYKS        	KANTA       	320         	320/40      
TYKS	Kantasairaala	320-äitiyspoli	320/50-ultraäänilääkärin vo	1	TYKS        	KANTA       	320         	320/50      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	320-äitiyspoli	320/60-professorin vo	1	OP-HTR      	OP-N&S      	320         	320/60      
TYKS	TYKS/U-sairaala	320-äitiyspoli	320/EL-erikoislääkäri	1	TYKS        	TYKSU       	320         	320/EL      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	320-äitiyspoli	320/EL-erikoislääkäri	1	OP-HTR      	OP-N&S      	320         	320/EL      
TYKS	Kantasairaala	320-äitiyspoli	320/OM	1	TYKS        	KANTA       	320         	320/OM      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	320-äitiyspoli	320/OM	1	OP-HTR      	OP-N&S      	320         	320/OM      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	320-äitiyspoli	320/SYN-synnyttäjien MRSA&VRE	1	OP-HTR      	OP-N&S      	320         	320/SY      
TYKS	TYKS/U-sairaala	320-äitiyspoli	320/SYN-synnyttäjien MRSA&VRE	1	TYKS        	TYKSU       	320         	320/SY      
TYKS	Kantasairaala	320-äitiyspoli	320/SYN-synnyttäjien MRSA&VRE	1	TYKS        	KANTA       	320         	320/SY      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	321-synnytysvastaanotto	321-synnytysvastaanotto	1	OP-HTR      	OP-N&S      	321         	321         
TYKS	Kantasairaala	321-synnytysvastaanotto	321-synnytysvastaanotto	1	TYKS        	KANTA       	321         	321         
TYKS	TYKS/U-sairaala	321-synnytysvastaanotto	321-synnytysvastaanotto	1	TYKS        	TYKSU       	321         	321         
TYKS	TYKS/U-sairaala	322-naistentautien poli	322-naistentautien pkl	1	TYKS        	TYKSU       	322         	322         
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322-naistentautien pkl	1	OP-HTR      	OP-N&S      	322         	322         
TYKS	Kantasairaala	322-naistentautien poli	322-naistentautien pkl	1	TYKS        	KANTA       	322         	322         
TYKS	Kantasairaala	322-naistentautien poli	322/01-diagnostinen vo	1	TYKS        	KANTA       	322         	322/01      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/01-diagnostinen vo	1	OP-HTR      	OP-N&S      	322         	322/01      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/01-diagnostinen vo	1	TYKS        	TYKSU       	322         	322/01      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/02-lapsettomuus vo	1	TYKS        	TYKSU       	322         	322/02      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/02-lapsettomuus vo	1	OP-HTR      	OP-N&S      	322         	322/02      
TYKS	Kantasairaala	322-naistentautien poli	322/02-lapsettomuus vo	1	TYKS        	KANTA       	322         	322/02      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/03-yleisgynekol. vo/JM	1	OP-HTR      	OP-N&S      	322         	322/03      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/03-yleisgynekol. vo/JM	1	TYKS        	TYKSU       	322         	322/03      
TYKS	Kantasairaala	322-naistentautien poli	322/03-yleisgynekol. vo/JM	1	TYKS        	KANTA       	322         	322/03      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/05	1	TYKS        	TYKSU       	322         	322/05      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/05	1	OP-HTR      	OP-N&S      	322         	322/05      
TYKS	Kantasairaala	322-naistentautien poli	322/05	1	TYKS        	KANTA       	322         	322/05      
TYKS	Kantasairaala	322-naistentautien poli	322/06-lääkäreiden yhteis vo	1	TYKS        	KANTA       	322         	322/06      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/06-lääkäreiden yhteis vo	1	OP-HTR      	OP-N&S      	322         	322/06      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/06-lääkäreiden yhteis vo	1	TYKS        	TYKSU       	322         	322/06      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/07-opetus vo	1	OP-HTR      	OP-N&S      	322         	322/07      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/07-opetus vo	1	TYKS        	TYKSU       	322         	322/07      
TYKS	Kantasairaala	322-naistentautien poli	322/07-opetus vo	1	TYKS        	KANTA       	322         	322/07      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/08-erikoislääkäri/VR	1	OP-HTR      	OP-N&S      	322         	322/08      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/08-erikoislääkäri/VR	1	TYKS        	TYKSU       	322         	322/08      
TYKS	Kantasairaala	322-naistentautien poli	322/08-erikoislääkäri/VR	1	TYKS        	KANTA       	322         	322/08      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/09-os 314 jt.vast.otto	1	TYKS        	TYKSU       	322         	322/09      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/09-os 314 jt.vast.otto	1	OP-HTR      	OP-N&S      	322         	322/09      
TYKS	Kantasairaala	322-naistentautien poli	322/09-os 314 jt.vast.otto	1	TYKS        	KANTA       	322         	322/09      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/10-yleisgynekol. vo/EN	1	TYKS        	TYKSU       	322         	322/10      
TYKS	Kantasairaala	322-naistentautien poli	322/10-yleisgynekol. vo/EN	1	TYKS        	KANTA       	322         	322/10      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/10-yleisgynekol. vo/EN	1	OP-HTR      	OP-N&S      	322         	322/10      
TYKS	Kantasairaala	322-naistentautien poli	322/11-jälkiseuranta, al	1	TYKS        	KANTA       	322         	322/11      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/11-jälkiseuranta, al	1	TYKS        	TYKSU       	322         	322/11      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/11-jälkiseuranta, al	1	OP-HTR      	OP-N&S      	322         	322/11      
TYKS	Kantasairaala	322-naistentautien poli	322/12-gynekol.-urol. vo	1	TYKS        	KANTA       	322         	322/12      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/12-gynekol.-urol. vo	1	OP-HTR      	OP-N&S      	322         	322/12      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/12-gynekol.-urol. vo	1	TYKS        	TYKSU       	322         	322/12      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/13	1	OP-HTR      	OP-N&S      	322         	322/13      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/13	1	TYKS        	TYKSU       	322         	322/13      
TYKS	Kantasairaala	322-naistentautien poli	322/13	1	TYKS        	KANTA       	322         	322/13      
TYKS	Kantasairaala	322-naistentautien poli	322/14-os 314 päivystyspot.	1	TYKS        	KANTA       	322         	322/14      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/16-seksuaaliterv. pkl	1	OP-HTR      	OP-N&S      	322         	322/16      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/17-päivystys vo	1	OP-HTR      	OP-N&S      	322         	322/17      
TYKS	Kantasairaala	322-naistentautien poli	322/17-päivystys vo	1	TYKS        	KANTA       	322         	322/17      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/17-päivystys vo	1	TYKS        	TYKSU       	322         	322/17      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/18-IVF-hoitajan vo	1	TYKS        	TYKSU       	322         	322/18      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/18-IVF-hoitajan vo	1	OP-HTR      	OP-N&S      	322         	322/18      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/21-yleisgynekol. el-vo	1	TYKS        	TYKSU       	322         	322/21      
TYKS	Kantasairaala	322-naistentautien poli	322/21-yleisgynekol. el-vo	1	TYKS        	KANTA       	322         	322/21      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/21-yleisgynekol. el-vo	1	OP-HTR      	OP-N&S      	322         	322/21      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/22-IVF-vastaanotto	1	TYKS        	TYKSU       	322         	322/22      
TYKS	Kantasairaala	322-naistentautien poli	322/22-IVF-vastaanotto	1	TYKS        	KANTA       	322         	322/22      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/22-IVF-vastaanotto	1	OP-HTR      	OP-N&S      	322         	322/22      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/23-pkl-toimenpiteet	1	TYKS        	TYKSU       	322         	322/23      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/23-pkl-toimenpiteet	1	OP-HTR      	OP-N&S      	322         	322/23      
TYKS	Kantasairaala	322-naistentautien poli	322/23-pkl-toimenpiteet	1	TYKS        	KANTA       	322         	322/23      
TYKS	Kantasairaala	322-naistentautien poli	322/24-yleisgynekol. al-vo	1	TYKS        	KANTA       	322         	322/24      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/24-yleisgynekol. al-vo	1	OP-HTR      	OP-N&S      	322         	322/24      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/24-yleisgynekol. al-vo	1	TYKS        	TYKSU       	322         	322/24      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/26-jälkiseuranta, el	1	TYKS        	TYKSU       	322         	322/26      
TYKS	Kantasairaala	322-naistentautien poli	322/26-jälkiseuranta, el	1	TYKS        	KANTA       	322         	322/26      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/26-jälkiseuranta, el	1	OP-HTR      	OP-N&S      	322         	322/26      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/27-tiedevastaanotto	1	OP-HTR      	OP-N&S      	322         	322/27      
TYKS	Kantasairaala	322-naistentautien poli	322/27-tiedevastaanotto	1	TYKS        	KANTA       	322         	322/27      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/32-apulaislääkäri (PP-K)	1	OP-HTR      	OP-N&S      	322         	322/32      
TYKS	Kantasairaala	322-naistentautien poli	322/36-apulaislääkäri (SG)	1	TYKS        	KANTA       	322         	322/36      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/MH-lääkärin vo	1	OP-HTR      	OP-N&S      	322         	322/MH      
TYKS	Kantasairaala	322-naistentautien poli	322/MH-lääkärin vo	1	TYKS        	KANTA       	322         	322/MH      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/MH-lääkärin vo	1	TYKS        	TYKSU       	322         	322/MH      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/TU-tutkimusvastaanotto	1	TYKS        	TYKSU       	322         	322/TU      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/TU-tutkimusvastaanotto	1	OP-HTR      	OP-N&S      	322         	322/TU      
TYKS	Kantasairaala	322-naistentautien poli	322/TU-tutkimusvastaanotto	1	TYKS        	KANTA       	322         	322/TU      
TYKS	TYKS/U-sairaala	322-naistentautien poli	322/OPE	1	TYKS        	TYKSU       	322         	322OPE      
TYKS	Kantasairaala	322-naistentautien poli	322/OPE	1	TYKS        	KANTA       	322         	322OPE      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/OPE	1	OP-HTR      	OP-N&S      	322         	322OPE      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	322-naistentautien poli	322/SEXO-seksuaalineuvoja	1	OP-HTR      	OP-N&S      	322         	322SEX      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	350-naistenkl. leikkausos	350-naistenkl. leikkausos	1	OP-HTR      	OP-N&S      	350         	350         
TYKS	TYKS/U-sairaala	350-naistenkl. leikkausos	350-naistenkl. leikkausos	1	TYKS        	TYKSU       	350         	350         
TYKS	Kantasairaala	350-naistenkl. leikkausos	350-naistenkl. leikkausos	1	TYKS        	KANTA       	350         	350         
TYKS	TYKS/U-sairaala	360-synnytysosasto	360-synnytysos	1	TYKS        	TYKSU       	360         	360         
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	360-synnytysosasto	360-synnytysos	1	OP-HTR      	OP-N&S      	360         	360         
TYKS	Kantasairaala	360-synnytysosasto	360-synnytysos	1	TYKS        	KANTA       	360         	360         
TYKS	Kantasairaala	360-synnytysosasto	360/10-hoitajan vo	1	TYKS        	KANTA       	360         	360/10      
TYKS	TYKS/U-sairaala	360-synnytysosasto	360/10-hoitajan vo	1	TYKS        	TYKSU       	360         	360/10      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	360-synnytysosasto	360/10-hoitajan vo	1	OP-HTR      	OP-N&S      	360         	360/10      
TYKS	TYKS/U-sairaala	360-synnytysosasto	360/11-napaverinäytteet	1	TYKS        	TYKSU       	360         	360/11      
TYKS	Kantasairaala	360-synnytysosasto	360/11-napaverinäytteet	1	TYKS        	KANTA       	360         	360/11      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	360-synnytysosasto	360/11-napaverinäytteet	1	OP-HTR      	OP-N&S      	360         	360/11      
Operatiivisen hoidon tr	Naistentaut. ja synnytysten ty	399-naistenkl.hallinto	399/TP-naistenklinikan proj.	1	OP-HTR      	OP-N&S      	399         	399/TP      
TYKS	Kantasairaala	410-lasten psyk. osasto	410-lasten psykiatrinen os	1	TYKS        	KANTA       	410         	410         
TYKS	Kantasairaala	411-lasten kir. osasto	411-lasten kirurgian os	1	TYKS        	KANTA       	411         	411         
Konservatiivisen hoidon tr	Lastentautien tulosyksikkö	411-lasten kir. osasto	411-lasten kirurgian os	1	KO-HTR      	KO-LAS      	411         	411         
TYKS	TYKS/U-sairaala	411-lasten kir. osasto	411-lasten kirurgian os	1	TYKS        	TYKSU       	411         	411         
TYKS	Kantasairaala	411-lasten kir. osasto	411/10	1	TYKS        	KANTA       	411         	411/10      
TYKS	TYKS/U-sairaala	411-lasten kir. osasto	411/11	1	TYKS        	TYKSU       	411         	411/11      
TYKS	Kantasairaala	411-lasten kir. osasto	411/11	1	TYKS        	KANTA       	411         	411/11      
TYKS	Kantasairaala	411-lasten kir. osasto	411/41-osastolla näyttäjät	1	TYKS        	KANTA       	411         	411/41      
TYKS	Kantasairaala	412-lasten kir. osasto	412-lasten os	1	TYKS        	KANTA       	412         	412         
Konservatiivisen hoidon tr	Lastentautien tulosyksikkö	412-lasten kir. osasto	412-lasten os	1	KO-HTR      	KO-LAS      	412         	412         
TYKS	TYKS/U-sairaala	412-lasten kir. osasto	412-lasten os	1	TYKS        	TYKSU       	412         	412         
TYKS	TYKS/U-sairaala	412-lasten kir. osasto	412/09-gastroenterologinen vo	1	TYKS        	TYKSU       	412         	412/09      
